Educ,YEAR,Age_grp,w.obs,obs,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd
HS,2004,"(20,25]",3461708.3702310696,477,-0.8636152459915336,1.9402486352378951,3.4919318662821324,0.7968688273102409
HS,2004,"(25,30]",4611522.936564349,694,-0.7129319048677936,1.4965436944243298,3.8738721110249696,0.6452754306201511
HS,2004,"(30,35]",4660952.050429296,737,-0.48104054882569114,1.4540570474671457,4.0764319122960435,0.6842055342090068
HS,2004,"(35,40]",6162410.42265809,1016,0.015209839912337977,1.4657326477647659,4.224170040903565,0.579465852607108
HS,2004,"(40,45]",6051223.986142775,1082,0.3201039454991728,1.3822588095450186,4.182652629412942,0.6671227681938211
HS,2004,"(45,50]",6595441.0418156935,1108,0.3869937752699193,1.513337405647781,4.220731296535694,0.8033107549832421
HS,2004,"(50,55]",5567387.618325769,1009,0.7459221508825624,1.6219227254960191,4.1973413441882,0.8035610666118834
HS,2004,"(55,60]",4886297.825848351,940,0.9898104390094491,1.4686620659147567,4.153980884261116,0.7984335467716189
HS,2004,"(60,65]",3017214.3239096166,602,1.176786832268066,1.4805533038461904,3.99579965835014,0.7831577301450765
HS,2004,"(65,70]",2785291.6567579648,528,1.4773397657714262,1.3519020022388168,3.9244839402292637,0.7621064527815419
HS,2004,"(70,75]",3024971.5172538115,459,1.6171259959873745,1.355522285882422,3.7368387838855206,0.6693051486519453
HS,2004,"(75,80]",2519356.146733715,350,1.7549374308672046,1.090918863364969,3.624257375781294,0.6319026940310267
HS,2004,"(80,85]",1635423.8489495823,210,1.7256227848621437,1.3078374951046337,3.4476400907441556,0.5767524630367251
HS,2004,"(85,90]",811266.4469059265,84,2.3841153538092734,1.0247024650968053,3.6728157653881035,0.6918571101902969
HS,2004,"(90,95]",123895.31339278964,20,3.9592772510661867,0.4394999828672592,3.3002158750243797,0.7242537277736503
HS,2007,"(15,20]",749107.838107973,87,-0.689873498923712,1.7913228215480546,2.8395591904321535,0.6980360867823826
HS,2007,"(20,25]",3152671.9632893093,414,-1.4123002368727229,1.757074118797172,3.568093440662978,0.665300256836543
HS,2007,"(25,30]",4065053.9415680678,557,-0.4298115514758171,1.5851628584033781,3.869045099207347,0.6900075070563447
HS,2007,"(30,35]",4909091.123029307,694,-0.3449053287346106,1.4066228956974716,4.140080534968717,0.6154846790862833
HS,2007,"(35,40]",5784866.514555748,919,-0.05872508734771756,1.8150689644275027,4.197947983728109,0.7109353380796339
HS,2007,"(40,45]",5842575.512735823,969,0.3381497366114484,1.3850143020296235,4.239614013560665,0.6812786657474308
HS,2007,"(45,50]",6824840.909462778,1142,0.5672766671303368,1.4556285588350646,4.270962110747751,0.6859957751063473
HS,2007,"(50,55]",6269932.70274224,1066,0.6769412274129498,1.5691251934649544,4.2321339080597795,0.7848115170785416
HS,2007,"(55,60]",4993391.837041584,828,1.1399818570291365,1.4021947097054894,4.1456945222725965,0.7601484560984727
HS,2007,"(60,65]",4634066.721147631,778,1.3671270869465044,1.3651031940060923,4.027185650950403,0.8137286451730267
HS,2007,"(65,70]",3565404.0829834747,620,1.499534010568521,1.4164341153974869,3.809167128354059,0.7613635930524145
HS,2007,"(70,75]",2654441.733021183,390,1.61255559142284,1.3588305219412276,3.6775336626286204,0.6929436177304267
HS,2007,"(75,80]",2444639.29994385,311,1.7698373032913877,1.3747618958256835,3.450244242022479,0.686179319664398
HS,2007,"(80,85]",1907312.1238112883,294,2.3547012869298465,1.4234245956692708,3.5102856797379722,0.6853550967368621
HS,2007,"(85,90]",1308839.318266226,158,1.3739673153634198,1.9540596183415897,3.131043526339406,0.682577688976918
HS,2007,"(90,95]",571664.6386805172,72,1.9445578518100755,1.235613036001974,3.3576216044876874,0.6608567017808656
HS,2010,"(15,20]",604375.7980270141,120,-0.14129416546863285,1.5081560629243151,2.4250726186804363,0.8847830904125265
HS,2010,"(20,25]",3048042.974388752,677,-1.1561258046915788,1.6840722419834204,3.4859287369003362,0.6919041378439127
HS,2010,"(25,30]",3700757.876484846,922,-0.9790713826894778,1.542895229353394,3.884357982460356,0.5856387324031621
HS,2010,"(30,35]",4685448.824516998,1164,-0.5513119410208209,1.5150827535825921,4.113797632530099,0.6385773000188921
